# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr11_19013189_19016384	Meis1 (+4182)
chr6_134604589_134605201	Lrp6 (-37982), Mansc1 (+27593)
chr9_63932686_63933176	Smad3 (-174937), Smad6 (+89128)
chr8_26117824_26118019	Gm45692 (-1612), Rnf170 (-1446), Hook3 (+1302)
chr10_79925497_79925762	Arid3a (-1413)
chr8_26118257_26118822	Gm45692 (-994), Rnf170 (-828), Hook3 (+684)
chr9_66611815_66612170	Car12 (-101693), Usp3 (-18851)
chr10_80059939_80060459	Gpx4 (+6162), Sbno2 (+44171)
chr9_69325743_69325897	Ice2 (-72086), Rora (+672034)
chr8_27309902_27310130	Tex24 (-34378), Eif4ebp1 (+49687)
chr6_143837526_143837920	Sox5 (+371757), Etnk1 (+670493)
chr9_70874974_70875251	Lipc (+59695), Adam10 (+196116)
chr9_72111611_72112451	Tcf12 (-184)
chr9_72374872_72375643	Mns1 (-63277), Zfp280d (+100379)
chr9_77463740_77464405	Mlip (-116203), Lrrc1 (+80797)
chr10_92009697_92010107	Tmpo (-838324), Nedd1 (+712518)
chr10_95672109_95672638	Nudt4 (-108228), Anapc15-ps (+1077)
chr8_47426622_47426783	Stox2 (-137301), Trappc11 (+106764)
chr9_86770179_86770560	Prss35 (+26721), Snap91 (+110069)
chr9_94016653_94017101	1190002N15Rik (+521204)
chr10_111673869_111674190	Krr1 (-298634), Phlda1 (+167744)
chr10_117108618_117109054	Cct2 (-45022), Frs2 (+39674)

